area_id,survey_id,iso3,survyear,period,tips,births,pys,asfr,survtype,age_group
BEN_1_4qu,BEN2014MICS,BEN,2014,1999,14,2.14092580065561,20.3430538878963,0.105241121242343,MICS,Y030_034
BEN_1_5vw,BEN2014MICS,BEN,2014,1999,14,6.2512042419143,28.2889217803295,0.220977112187465,MICS,Y030_034
BEN_1_6yg,BEN2014MICS,BEN,2014,1999,14,5.53286595169432,27.5228114192616,0.201028371244886,MICS,Y030_034
BEN_1_7ra,BEN2014MICS,BEN,2014,1999,14,5.2424891916054,26.0897518579894,0.20094055398231,MICS,Y030_034
BEN_1_8fr,BEN2014MICS,BEN,2014,1999,14,9.76110490298913,39.7853044721834,0.245344481649343,MICS,Y030_034
BEN_1_9dz,BEN2014MICS,BEN,2014,1999,14,1.2023601603682,22.0481028392518,0.054533497468438,MICS,Y030_034
BEN_1_10oz,BEN2014MICS,BEN,2014,1999,14,1.16511110035679,0.369336003446434,3.15461013679856,MICS,Y035_039
BEN_1_11oz,BEN2014MICS,BEN,2014,1999,14,0,0.278963286752093,0,MICS,Y035_039
BEN_1_2ys,BEN2014MICS,BEN,2014,1999,14,0,0.464355091808865,0,MICS,Y035_039
BEN_1_3xj,BEN2014MICS,BEN,2014,1999,14,0,0.47412239764519,0,MICS,Y035_039
BEN_1_4qu,BEN2014MICS,BEN,2014,1999,14,0,0.191811316725405,0,MICS,Y035_039
BEN_1_5vw,BEN2014MICS,BEN,2014,1999,14,0,0.267328633415197,0,MICS,Y035_039
BEN_1_6yg,BEN2014MICS,BEN,2014,1999,14,0,0.196842750060279,0,MICS,Y035_039
BEN_1_7ra,BEN2014MICS,BEN,2014,1999,14,0,0.497600500152379,0,MICS,Y035_039
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,14,38.0481200216514,231.239374207395,0.164539971413028,MICS,Y015_019
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,14,10.8250814633149,88.0004534244482,0.123011655532079,MICS,Y015_019
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,14,62.1192298590227,147.633079751043,0.420767689489211,MICS,Y015_019
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,14,10.3754996531773,115.766432371284,0.0896244225606014,MICS,Y015_019
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,14,24.7378818875754,103.556733436712,0.238882408382395,MICS,Y015_019
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,14,9.4530849628948,130.596479776659,0.0723839186099128,MICS,Y015_019
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,14,19.7571920660502,110.359884687962,0.179025124228001,MICS,Y015_019
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,14,22.4259905368675,119.663745070811,0.187408396115272,MICS,Y015_019
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,14,12.8524244339358,129.050105842852,0.0995925136984121,MICS,Y015_019
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,14,25.5747288578317,113.371346430551,0.225583709314931,MICS,Y015_019
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,14,16.2763073349843,168.083537660639,0.096834630931235,MICS,Y015_019
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,14,10.4369647231961,71.5185296560677,0.145933714988094,MICS,Y015_019
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,14,66.2042907932736,201.208545092449,0.329033196690801,MICS,Y020_024
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,14,28.3116058086698,85.6099520778829,0.330704609937331,MICS,Y020_024
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,14,64.0151214096032,169.100879460117,0.37856172962543,MICS,Y020_024
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,14,22.9485506870275,137.53397910545,0.16685731654308,MICS,Y020_024
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,14,31.9192650597746,75.6137937681551,0.422135479111715,MICS,Y020_024
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,14,21.523196856591,113.799975291515,0.18913182363578,MICS,Y020_024
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,14,24.3698637674627,88.666854848819,0.274847504278961,MICS,Y020_024
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,14,40.0389745722611,112.728981266187,0.355179068616941,MICS,Y020_024
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,14,43.8877567234397,115.828489766303,0.378902952218302,MICS,Y020_024
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,14,38.9999984819429,107.492978962084,0.362814379678689,MICS,Y020_024
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,14,60.513637488531,159.246737188766,0.379999229854236,MICS,Y020_024
