survey_id,country,survyear,area_id,period,tips,births,pys,asfr,age_group
CMR2017PHIA,Cameroon,2017,CMR_3_45,2018,0,0,0.9614637347372663,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_46,2018,0,0,0.23848111888846582,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_48,2018,0,0,0.06922765327008443,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_49,2018,0,0,0.13523839688937322,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_51,2018,0,0,0.5792032182462269,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_52,2018,0,0,0.12871312242333013,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_53,2018,0,0,0.06796997256300401,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_56,2018,0,0,0.1228392376383281,0,Y040_044
CMR2017PHIA,Cameroon,2017,CMR_3_44,2018,0,0,0.23282541510437957,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_45,2018,0,0.7112764436051942,0.5931461173413634,1.1991588966194737,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_46,2018,0,0,0.35920779246494794,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_48,2018,0,0,0.2513825057202875,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_49,2018,0,0,0.27777955226424966,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_50,2018,0,0,0.1651208039689663,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_51,2018,0,0,0.5888083688613374,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_52,2018,0,0,0.11705086214534548,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_53,2018,0,0,0.06350149405472247,0,Y045_049
CMR2017PHIA,Cameroon,2017,CMR_3_58,2016,0,2.070490476699455,2.6639292291395007,0.7772317875607613,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_60,2016,0,1.0272569450332396,10.836318910746673,0.09479759256757209,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_61,2016,0,0,1.8691473041272735,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_62,2016,0,3.9444669108081953,6.094125933087321,0.647257203759474,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_63,2016,0,0,0.3128120240308553,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_64,2016,0,0,0.4846785716575918,0,Y015_019
CMR2017PHIA,Cameroon,2017,CMR_3_72,2016,0,2.8217191573262808,4.84070165492161,0.5829153206451794,Y015_019
