survey_id,country,survyear,area_id1,period,tips,births,pys,asfr,age_group
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_11jl,2016,0,2.2944955030085463,7.513760942764811,0.3053724387143264,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_15yu,2016,0,1.7206549196900682,11.242218185385225,0.15305297329373158,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_17ut,2016,0,0.6995951900444463,1.486295296300807,0.4706973047587828,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_18pr,2016,0,1.3384648504548502,0.9742222157515622,1.373880444126696,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_19xj,2016,0,0,0.32519389663646214,0,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_21xi,2016,0,0.20967142668103084,0.17758561242452273,1.1806780054895787,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_23wy,2016,0,4.007400661006668,12.952605581430788,0.309389538329785,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_24ey,2016,0,0,4.668906100743493,0,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_26ev,2016,0,0.412509317305148,1.9257223785696058,0.2142101695944111,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_28cd,2016,0,0,0.5811956800662215,0,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_30ud,2016,0,2.320888034883945,13.155142645428858,0.17642439139118007,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_32ux,2016,0,0,2.088498169323125,0,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_01df,2016,0,1.4672273216824128,53.63671533105741,0.02735490629182582,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_02rc,2016,0,8.738524637242488,57.841986621753946,0.15107580405884596,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_03mp,2016,0,0,9.253332558942521,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_04ad,2016,0,0.22733708758841792,0.11845672428158502,1.9191573037931724,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_05mk,2016,0,0,0.2636650280432733,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_06vp,2016,0,0.42940457441386837,4.1172952932942675,0.10429287768434499,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_11jl,2016,0,2.845456691477384,6.380119822213853,0.44598797056604994,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_15yu,2016,0,0,6.785712317506319,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_17ut,2016,0,0,1.5712689795448525,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_18pr,2016,0,0,0.29752270189357627,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_21xi,2016,0,0,0.09484033587481801,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_23wy,2016,0,2.025367248586665,7.117149234362496,0.2845756330087805,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_24ey,2016,0,0,6.204194354991072,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_26ev,2016,0,0,0.48587915205088167,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_28cd,2016,0,0,0.3495872989417482,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_30ud,2016,0,3.0120571241620326,10.7651064306812,0.2797981741803768,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_32ux,2016,0,0,0.9972062912836032,0,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_01df,2016,0,2.3265966757812095,33.23060454045851,0.0700136728764161,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_02rc,2016,0,5.093854579676947,43.73126497018798,0.1164808423252672,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_03mp,2016,0,0,5.447082407177238,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_04ad,2016,0,0,0.046473197570529805,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_05mk,2016,0,0,0.25218371529113726,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_06vp,2016,0,0.17877740597102926,3.3724876383109796,0.05301054448358635,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_11jl,2016,0,0.652561555714247,5.110005298509428,0.12770271606266184,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_15yu,2016,0,0,5.904882036014477,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_17ut,2016,0,0,1.0468808548565038,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_18pr,2016,0,0,0.5800916984269461,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_19xj,2016,0,0,0.17575637249232604,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_21xi,2016,0,0,0.1153573184527806,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_23wy,2016,0,0,8.176050652855608,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_24ey,2016,0,1.2864624575827748,3.507382597376769,0.3667870333122317,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_26ev,2016,0,0.7804066718203456,1.3460437994360024,0.579778066766727,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_28cd,2016,0,0,0.22162050868992023,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_30ud,2016,0,1.0858274463954682,8.557062446238586,0.12689254673755054,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_32ux,2016,0,0,0.18294088938291972,0,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_01df,2016,0,0,23.539529986361597,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_02rc,2016,0,1.8241768354863128,23.267958842721853,0.07839866177418953,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_03mp,2016,0,0,6.811500793022358,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_04ad,2016,0,0,0.1379967522069096,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_06vp,2016,0,0,2.1869260228761735,0,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,CIV_1_11jl,2016,0,0.28076511401146953,4.065398268792812,0.06906214236541221,Y040_044
