survey_id,country,survyear,period,tips,births,pys,asfr,age_group
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,30.10426775941938,242.09722965124342,0.1243478407530169,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,24.895415981117825,245.5998017581331,0.10136578206864699,Y020_024
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,33.48597010379486,236.7474538472506,0.14144173278163322,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,18.74537468515327,166.28003847671746,0.1127337644186196,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,11.404486792942022,121.00417094172859,0.09424870815762233,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,2.1049419494977823,77.23072928171031,0.027255238543969988,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,2016,0,0,59.45125470216924,0,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,114.00693305973608,1331.2797468764602,0.08563709718203628,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,209.9548577896366,1312.7978086665282,0.15992931767832386,Y020_024
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,230.67458160783298,1323.888695653932,0.17424016260966088,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,165.0385550334613,974.854460330774,0.1692955838530633,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,94.58763482723356,744.3653093941149,0.1270715247386049,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,20.00922998726845,533.700196776299,0.03749151697550403,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,2017,0,0.6953692383684226,387.90903920460977,0.001792609009045642,Y045_049
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,12.170484878772143,90.83089553790661,0.13399058554578508,Y015_019
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,24.67515239642569,95.88417839583443,0.25734331575080455,Y020_024
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,18.617984014182152,98.62477917495745,0.1887759259886848,Y025_029
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,11.35959811838388,79.07279261279808,0.1436600092526049,Y030_034
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,5.684039768559533,55.619057477511056,0.1021959023821612,Y035_039
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,2.374884677794226,44.93788677179986,0.052848161059601745,Y040_044
CIV2017PHIA,Cote d'Ivoire,2017,2018,0,0,29.747378534556457,0,Y045_049
CMR2017PHIA,Cameroon,2017,2016,0,41.12454577363272,473.5798046275891,0.08683762561617676,Y015_019
CMR2017PHIA,Cameroon,2017,2016,0,76.32328167252568,438.739693939512,0.17396028380110096,Y020_024
CMR2017PHIA,Cameroon,2017,2016,0,97.72550193291569,423.54809506142163,0.23073059015586847,Y025_029
CMR2017PHIA,Cameroon,2017,2016,0,64.90805167390613,355.18725535969736,0.1827431888235232,Y030_034
CMR2017PHIA,Cameroon,2017,2016,0,32.02010835418792,289.01426926306425,0.11079075242836135,Y035_039
CMR2017PHIA,Cameroon,2017,2016,0,10.108276863793378,201.23303239704256,0.05023169776545063,Y040_044
CMR2017PHIA,Cameroon,2017,2016,0,1.8608976793221512,108.95525877041995,0.017079466382097775,Y045_049
CMR2017PHIA,Cameroon,2017,2017,0,197.9288478970258,2110.7212059018043,0.09377308919036555,Y015_019
CMR2017PHIA,Cameroon,2017,2017,0,372.7400390731645,1805.1997311334856,0.2064813287109903,Y020_024
CMR2017PHIA,Cameroon,2017,2017,0,345.00196368447865,1620.9766694664838,0.21283586012254577,Y025_029
CMR2017PHIA,Cameroon,2017,2017,0,234.5827883607405,1541.6251656287493,0.1521659049105275,Y030_034
CMR2017PHIA,Cameroon,2017,2017,0,113.71596165681947,1226.6138029724186,0.0927072248667468,Y035_039
CMR2017PHIA,Cameroon,2017,2017,0,27.972474043084812,976.8257669582811,0.02863609354837942,Y040_044
CMR2017PHIA,Cameroon,2017,2017,0,4.002472920687749,606.0916972638041,0.006603741543988937,Y045_049
CMR2017PHIA,Cameroon,2017,2018,0,5.066750618823277,38.8235099848043,0.13050727821380462,Y015_019
CMR2017PHIA,Cameroon,2017,2018,0,5.495357612050475,27.405473706977318,0.20052043875641454,Y020_024
CMR2017PHIA,Cameroon,2017,2018,0,3.092316774450018,27.265784717447794,0.11341381905913742,Y025_029
CMR2017PHIA,Cameroon,2017,2018,0,4.549469163945089,24.510292883199195,0.18561463894474978,Y030_034
CMR2017PHIA,Cameroon,2017,2018,0,1.0946688893284404,19.136723816607848,0.057202523264636845,Y035_039
CMR2017PHIA,Cameroon,2017,2018,0,1.0982393757688653,15.006365900446852,0.07318489919909006,Y040_044
CMR2017PHIA,Cameroon,2017,2018,0,0.5436423486562753,12.370506206220192,0.04394665340234166,Y045_049
LSO2017PHIA,Lesotho,2017,2015,0,0.8570414227281951,5.656802692439935,0.15150633128385277,Y015_019
LSO2017PHIA,Lesotho,2017,2015,0,0,3.709297917251797,0,Y020_024
LSO2017PHIA,Lesotho,2017,2015,0,0.7438293775477482,4.6222868988436385,0.1609223732377652,Y025_029
LSO2017PHIA,Lesotho,2017,2015,0,0.7937480221132943,2.6947135327159866,0.2945574779940635,Y030_034
LSO2017PHIA,Lesotho,2017,2015,0,0,2.724962184596009,0,Y035_039
LSO2017PHIA,Lesotho,2017,2015,0,0,1.8287611335754004,0,Y040_044
LSO2017PHIA,Lesotho,2017,2015,0,0,1.335065261714249,0,Y045_049
