"","area_id","survey_id","iso3","survyear","period","tips","births","pys","asfr","survtype","age_group"
"41","SSD_1_1","SSD2010MICS","SSD",2010,1995,14,1.04014520633555,2.51368424864425,0.413793103448276,"MICS","Y035_039"
"42","SSD_1_10","SSD2010MICS","SSD",2010,1995,14,0,0.866944394209072,0,"MICS","Y035_039"
"43","SSD_1_2","SSD2010MICS","SSD",2010,1995,14,0,5.31657900514535,0,"MICS","Y035_039"
"44","SSD_1_3","SSD2010MICS","SSD",2010,1995,14,0,0.498918930771144,0,"MICS","Y035_039"
"45","SSD_1_4","SSD2010MICS","SSD",2010,1995,14,0,0.532029671346051,0,"MICS","Y035_039"
"46","SSD_1_5","SSD2010MICS","SSD",2010,1995,14,0,1.28108366946066,0,"MICS","Y035_039"
"47","SSD_1_6","SSD2010MICS","SSD",2010,1995,14,0,0.620336011007914,0,"MICS","Y035_039"
"48","SSD_1_7","SSD2010MICS","SSD",2010,1995,14,0,0.914494981008694,0,"MICS","Y035_039"
"49","SSD_1_8","SSD2010MICS","SSD",2010,1995,14,0,1.03099779572259,0,"MICS","Y035_039"
"50","SSD_1_1","SSD2010MICS","SSD",2010,1996,14,7.87390427043201,51.3186234360846,0.153431712373163,"MICS","Y015_019"
"51","SSD_1_10","SSD2010MICS","SSD",2010,1996,14,12.2105117666961,52.2364798886664,0.233754490974906,"MICS","Y015_019"
"52","SSD_1_2","SSD2010MICS","SSD",2010,1996,14,13.5039994845512,75.4615305074043,0.178952101736476,"MICS","Y015_019"
"53","SSD_1_3","SSD2010MICS","SSD",2010,1996,14,13.5524683315674,29.0552959227,0.466437112450101,"MICS","Y015_019"
"54","SSD_1_4","SSD2010MICS","SSD",2010,1996,14,12.0192691989291,64.7667949376455,0.185577643767932,"MICS","Y015_019"
"55","SSD_1_5","SSD2010MICS","SSD",2010,1996,14,5.80320177423056,40.007556689406,0.145052641411797,"MICS","Y015_019"
"56","SSD_1_6","SSD2010MICS","SSD",2010,1996,14,2.36377572380028,13.874773058154,0.170365000846707,"MICS","Y015_019"
"57","SSD_1_7","SSD2010MICS","SSD",2010,1996,14,7.71696577054,35.8686452421547,0.215145169783848,"MICS","Y015_019"
"58","SSD_1_8","SSD2010MICS","SSD",2010,1996,14,9.32474237367996,35.3242118120585,0.263975950073337,"MICS","Y015_019"
"59","SSD_1_9","SSD2010MICS","SSD",2010,1996,14,5.48207416053728,55.1280389549695,0.099442575220483,"MICS","Y015_019"
"60","SSD_1_1","SSD2010MICS","SSD",2010,1996,14,10.6978959763971,38.7783611998702,0.27587282302257,"MICS","Y020_024"
"61","SSD_1_10","SSD2010MICS","SSD",2010,1996,14,16.3278053016158,41.4861306204743,0.393572624330447,"MICS","Y020_024"
"62","SSD_1_2","SSD2010MICS","SSD",2010,1996,14,24.9987311459219,72.3675743191318,0.345441053968185,"MICS","Y020_024"
"63","SSD_1_3","SSD2010MICS","SSD",2010,1996,14,17.9610815077612,31.0860809592106,0.577785328788428,"MICS","Y020_024"
"64","SSD_1_4","SSD2010MICS","SSD",2010,1996,14,22.3841274714485,57.9988886635765,0.385940627264222,"MICS","Y020_024"
"65","SSD_1_5","SSD2010MICS","SSD",2010,1996,14,9.03962367602591,31.1655062286724,0.290052200971772,"MICS","Y020_024"
"66","SSD_1_6","SSD2010MICS","SSD",2010,1996,14,7.65233528300179,12.6272247594816,0.606018775206782,"MICS","Y020_024"
"67","SSD_1_7","SSD2010MICS","SSD",2010,1996,14,11.4453615547087,28.5667078193964,0.400653852976977,"MICS","Y020_024"
"68","SSD_1_8","SSD2010MICS","SSD",2010,1996,14,11.2952135407719,30.5535662872879,0.369685601823554,"MICS","Y020_024"
"69","SSD_1_9","SSD2010MICS","SSD",2010,1996,14,16.2745891738321,57.4191755828423,0.283434741245138,"MICS","Y020_024"
"70","SSD_1_1","SSD2010MICS","SSD",2010,1996,14,6.53731515105488,21.8530256112908,0.299149201000216,"MICS","Y025_029"
"71","SSD_1_10","SSD2010MICS","SSD",2010,1996,14,11.440473600452,29.7051550541834,0.385134283244244,"MICS","Y025_029"
"72","SSD_1_2","SSD2010MICS","SSD",2010,1996,14,13.8014857699004,40.9704172440549,0.336864662316886,"MICS","Y025_029"
"73","SSD_1_3","SSD2010MICS","SSD",2010,1996,14,8.27299095809712,12.2598180551153,0.674805361784736,"MICS","Y025_029"
"74","SSD_1_4","SSD2010MICS","SSD",2010,1996,14,11.9415066491004,25.3253169206948,0.471524470414121,"MICS","Y025_029"
"75","SSD_1_5","SSD2010MICS","SSD",2010,1996,14,5.80320177423056,15.3764181236353,0.377409207239908,"MICS","Y025_029"
"76","SSD_1_6","SSD2010MICS","SSD",2010,1996,14,1.92855544322766,5.97937740593896,0.32253449018156,"MICS","Y025_029"
"77","SSD_1_7","SSD2010MICS","SSD",2010,1996,14,3.32738986169827,15.1130388461908,0.22016683048075,"MICS","Y025_029"
"78","SSD_1_8","SSD2010MICS","SSD",2010,1996,14,9.00649989298167,23.7892196552473,0.378595852386232,"MICS","Y025_029"
"79","SSD_1_9","SSD2010MICS","SSD",2010,1996,14,2.74103708026864,22.3140469309696,0.122839083773027,"MICS","Y025_029"
"80","SSD_1_1","SSD2010MICS","SSD",2010,1996,14,6.53731515105488,19.078441224166,0.342654574042155,"MICS","Y030_034"
"81","SSD_1_10","SSD2010MICS","SSD",2010,1996,14,12.854816067304,21.0278936258794,0.611322098923088,"MICS","Y030_034"
"82","SSD_1_2","SSD2010MICS","SSD",2010,1996,14,13.8014857699004,23.6409352202355,0.58379609949132,"MICS","Y030_034"
"83","SSD_1_3","SSD2010MICS","SSD",2010,1996,14,6.77623416578369,10.2811542488529,0.659092744040847,"MICS","Y030_034"
"84","SSD_1_4","SSD2010MICS","SSD",2010,1996,14,4.80770767957163,16.0309982033532,0.299900706031269,"MICS","Y030_034"
"85","SSD_1_5","SSD2010MICS","SSD",2010,1996,14,5.73347005118621,11.9331073194639,0.480467484092299,"MICS","Y030_034"
"86","SSD_1_6","SSD2010MICS","SSD",2010,1996,14,2.28126040392181,3.87119924830351,0.589290361358055,"MICS","Y030_034"
"87","SSD_1_7","SSD2010MICS","SSD",2010,1996,14,2.02949292325261,7.09735724303965,0.28595050999341,"MICS","Y030_034"
"88","SSD_1_8","SSD2010MICS","SSD",2010,1996,14,5.13973490788742,18.6088072254251,0.276199051643945,"MICS","Y030_034"
"89","SSD_1_9","SSD2010MICS","SSD",2010,1996,14,5.3104408527575,21.6933624781619,0.244795653882766,"MICS","Y030_034"
"90","SSD_1_1","SSD2010MICS","SSD",2010,1996,14,0,2.19167283928586,0,"MICS","Y035_039"
